locate,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15
서울,0,1,1,8,5,4,3,1,1,0,2,1,0,9,15
부산,1,1,1,0,3,1,2,0,1,1,3,0,1,2,3
대구,1,6,3,4,5,4,2,1,0,0,0,1,1,1,0
인천,0,0,0,3,2,1,3,0,1,0,1,0,1,0,2
광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
대전,0,0,0,0,2,2,2,0,0,1,0,0,0,5,34
울산,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
경기,1,1,11,30,18,12,10,3,10,4,3,2,1,27,18
강원,0,0,0,0,2,3,1,0,0,0,1,0,0,3,0
충북,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2
충남,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
전북,0,0,0,0,1,0,1,2,1,0,0,0,0,2,0
전남,0,0,0,1,1,3,3,0,0,1,0,0,0,0,3
경북,0,3,0,2,2,3,1,3,1,3,1,3,2,0,2
경남,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1
제주,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
